ACDT,Australian Central Daylight Time,澳大利亚中部夏令时间,Australia,澳大利亚,UTC +10:30
ACST,Australian Central Standard Time,澳大利亚中部标准时间,Australia,澳大利亚,UTC +9:30
ACT,Acre Time,阿克雷时间,South America,南美洲,UTC -5
ACWST,Australian Central Western Standard Time,澳大利亚中西部标准时间,Australia,澳大利亚,UTC +8:45
ADT,Arabia Daylight Time,阿拉伯夏令时,Asia,亚洲,UTC +4
ADT,Atlantic Daylight Time,大西洋夏令时,North America Atlantic,"北美洲,大西洋",UTC -3
AEDT,Australian Eastern Daylight Time,澳大利亚东部夏令时间,Australia,澳大利亚,UTC +11
AEST,Australian Eastern Standard Time,澳大利亚东部标准时间,Australia,澳大利亚,UTC +10
AET,Australian Eastern Daylight Time,澳大利亚东部夏令时,Australia,澳大利亚,UTC +11
AFT,Afghanistan Time,阿富汗时间,Asia,亚洲,UTC +4:30
AKDT,Alaska Daylight Time,阿拉斯加夏令时,North America,北美洲,UTC -8
AKST,Alaska Standard Time,阿拉斯加标准时间,North America,北美洲,UTC -9
ALMT,Alma-Ata Time,阿拉木图时间,Asia,亚洲,UTC +6
AMST,Amazon Summer Time,亚马逊夏令时,South America,南美洲,UTC -3
AMST,Armenia Summer Time,亚美尼亚夏令时,Asia,亚洲,UTC +5
AMT,Amazon Time,亚马逊时间,South America,南美洲,UTC -4
AMT,Armenia Time,亚美尼亚时间,Asia,亚洲,UTC +4
ANAST,Anadyr Summer Time,阿纳德尔夏令时,Asia,亚洲,UTC +12
ANAT,Anadyr Time,阿纳德尔时间,Asia,亚洲,UTC +12
AQTT,Aqtobe Time,阿克托比时间,Asia,亚洲,UTC +5
ART,Argentina Time,阿根廷时间,Antarctica South America,"南极洲,南美洲",UTC -3
AST,Arabia Standard Time,阿拉伯标准时间,Asia,亚洲,UTC +3
AST,Atlantic Standard Time,大西洋标准时间,North America Atlantic Caribbean,"北美洲,大西洋,加勒比海",UTC -4
ADT,Atlantic Daylight Time,大西洋夏令时,North America Atlantic,"北美洲,大西洋",UTC -3
AWDT,Australian Western Daylight Time,澳大利亚西部夏令时,Australia,澳大利亚,UTC +9
AWST,Australian Western Standard Time,澳大利亚西部标准时间,Australia,澳大利亚,UTC +8
AZOST,Azores Summer Time,亚速尔群岛夏令时,Atlantic,大西洋,UTC +0
AZOT,Azores Time,亚速尔群岛时间,Atlantic,大西洋,UTC -1
AZST,Azerbaijan Summer Time,阿塞拜疆夏令时,Asia,亚洲,UTC +5
AZT,Azerbaijan Time,阿塞拜疆时间,Asia,亚洲,UTC +4
AoE,Anywhere on Earth,地球上的任何地方,Pacific,太平洋,UTC -12
BNT,Brunei Darussalam Time,文莱达鲁萨兰国时间,Asia,亚洲,UTC +8
BOT,Bolivia Time,玻利维亚时间,South America,南美洲,UTC -4
BRST,Brasília Summer Time,巴西利亚夏令时,South America,南美洲,UTC -2
BRT,Brasília Time,巴西利亚时间,South America,南美洲,UTC -3
BST,Bangladesh Standard Time,孟加拉国标准时间,Asia,亚洲,UTC +6
BST,Bougainville Standard Time,布干维尔标准时间,Pacific,太平洋,UTC +11
BST,British Summer Time,英国夏令时,Europe,欧洲,UTC +1
BTT,Bhutan Time,不丹时间,Asia,亚洲,UTC +6
CAST,Casey Time,凯西时间,Antarctica,南极洲,UTC +8
CAT,Central Africa Time,中非时间,Africa,非洲,UTC +2
CCT,Cocos Islands Time,科科斯群岛时间,Indian Ocean,印度洋,UTC +6:30
